id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
39632,SPLD,small_airport,"Celendín Airport",-6.867599964141846,-78.14990234375,8600,SA,Peru,PE,"Cajamarca Region",PE-CAJ,CAJ,Celendín,0,SPLD,,,,,,50,2008-07-21T16:58:36+00:00
356335,PE-0029,small_airport,"Las Plumas Airport",-12.91902,-76.49186,,SA,Peru,PE,"Lima Region",PE-LIM,LIM,"Cerro Azul",0,,,,,,,50,2022-08-25T15:53:49+00:00
39662,SPZT,small_airport,"Chazuta Airport",-6.574166774749756,-76.13666534423828,757,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,Chazuta,0,SPZT,,,,,,50,2008-07-21T16:59:04+00:00
39595,SPHA,closed,"Chincha Airport",-13.37036,-76.11276,640,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Chincha,0,,,,,,"SPHA, SPHA",50,2022-08-25T15:45:03+00:00
39647,SPRG,small_airport,"San Regis Airport",-13.5113,-76.08398,294,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Chincha,0,SPRG,,,,,,50,2022-08-25T15:44:06+00:00
429730,PE-0032,small_airport,"Chivay Airport",-15.63627,-71.61376,,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Chivay,0,,,,,,,50,2022-09-07T12:44:58+00:00
39635,SPNH,small_airport,"Laguna Choclococha Airport",-13.16569995880127,-75.0719985961914,14965,SA,Peru,PE,"Huancavelica Region",PE-HUV,HUV,Choclococha,0,SPNH,,,,,,50,2008-07-21T16:58:39+00:00
39622,SPCT,small_airport,"Chota Airport",-6.550000190734863,-78.6500015258789,7800,SA,Peru,PE,"Cajamarca Region",PE-CAJ,CAJ,Chota,0,SPCT,,,,,,50,2008-07-21T16:58:25+00:00
39592,SPCC,small_airport,"Ciudad Constitución Airport",-9.865278244018555,-75.0088882446289,775,SA,Peru,PE,"Pasco Region",PE-PAS,PAS,"Ciudad Constitución",0,SPCC,,,,,,50,2008-07-21T16:56:43+00:00
6230,SPOL,closed,"Collique Airport",-11.9287,-77.061096,410,SA,Peru,PE,"Lima Region",PE-LIM,LIM,"Collique Bajo",0,,,,,,"SPOL, SPOL",50,2022-08-25T15:46:55+00:00
32349,SPCM,small_airport,"Contamana Airport",-7.335827,-74.992531,480,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Contamana,0,SPCM,,CTF,,,,50,2022-01-14T22:56:54+00:00
39638,SPOS,closed,"Zorritos Airport",-3.67374,-80.652397,95,SA,Peru,PE,"Tumbes Region",PE-TUM,TUM,"Contralmirante Villar",0,,,,,,"SPOS, SPOS",50,2022-08-25T16:19:40+00:00
6206,SPDR,small_airport,"Trompeteros Airport",-3.80601000786,-75.03929901119999,427,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Corrientes,0,SPDR,TDP,,,,,50,2013-08-24T21:04:55+00:00
39620,SPCN,closed,"Cunocuno Airport",-15.977222,-73.10833,5300,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Cunocuno,0,,,,,,"SPCN, SPCN",50,2022-08-25T15:22:32+00:00
327368,PE-0006,small_airport,"Quempiri Airfield",-11.876932,-73.916868,1329,SA,Peru,PE,"Junín Region",PE-JUN,JUN,Cutivireni,0,SPCV,,,,,,50,2022-01-15T01:39:18+00:00
39613,SPAL,small_airport,"Alao Airport",-6.5,-76.7166976928711,1740,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,"El Dorado",0,SPAL,,,,,,50,2008-07-21T16:58:17+00:00
39651,SPSJ,small_airport,"San José de Sisa Airport",-6.616489887237549,-76.68840026855469,1200,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,"El Dorado",0,SPSJ,,,,,,50,2008-07-21T16:58:54+00:00
39659,SPVA,small_airport,"Hacienda El Valor Airport",-5.662499904632568,-78.64472198486328,,SA,Peru,PE,"Amazonas Region",PE-AMA,AMA,"El Valor",0,SPVA,,,,,,50,2008-07-21T16:59:01+00:00
6209,SPEP,small_airport,"Puerto Esperanza Airport",-9.7681303024292,-70.70649719238281,725,SA,Peru,PE,"Ucayali Region",PE-UCA,UCA,Esperanza,0,SPEP,,,,,,50,2008-07-21T16:57:18+00:00
39624,SPFA,closed,"Fausa Airport",-14.7094,-71.731102,14809,SA,Peru,PE,"Cuzco Region",PE-CUS,CUS,Fausa,0,,,,,,"SPFA, SPFA",50,2022-08-25T15:13:31+00:00
30636,SPAR,small_airport,"Alerta Airport",-11.682999610900879,-69.33300018310547,797,SA,Peru,PE,"Madre de Dios Region",PE-MDD,MDD,Fortaleza,0,SPAR,ALD,,,,,50,2008-07-21T16:57:05+00:00
39658,SPUC,small_airport,"Huamachuco Airport",-7.81808,-78.02834,11224,SA,Peru,PE,"La Libertad Region",PE-LAL,LAL,Huamachuco,0,SPUC,,,,,,50,2015-04-18T07:57:22+00:00
39604,SPPP,small_airport,"Huanacopampa Airport",-14.14334,-72.33455,13130,SA,Peru,PE,"Apurímac Region",PE-APU,APU,Huanacopampa,0,SPPP,,,,,,50,2022-08-25T15:03:57+00:00
6200,SPAB,small_airport,"Huancabamba Airport",-5.256770133972168,-79.44290161132812,6312,SA,Peru,PE,"Piura Region",PE-PIU,PIU,Huancabamba,0,SPAB,,SP72,,,,50,2008-08-27T07:58:46+00:00
39629,SPHV,small_airport,"Huánuco Viejo Airport",-9.92632007598877,-76.23390197753906,6320,SA,Peru,PE,"Huánuco Region",PE-HUC,HUC,"Huánuco Viejo",0,SPHV,,,,,,50,2008-07-21T16:58:32+00:00
39597,SPIA,closed,"Ica Airport",-14.2001,-75.573898,1500,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Ica,0,,,,,,"SPIA, SPIA",50,2022-08-25T15:39:49+00:00
353426,PE-0026,small_airport,"Las Dunas Airport",-14.03561,-75.76004,1378,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Ica,0,SPLH,,,,https://en.wikipedia.org/wiki/Las_Dunas_Airport,,50,2022-04-07T13:26:20+00:00
39648,SPRL,small_airport,"Imperial Airport",-12.316666603088379,-75.06666564941406,,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Imperial,0,SPRL,,,,,,50,2008-07-21T16:58:51+00:00
39598,SPIN,small_airport,"Iñapari Airport",-10.979000091552734,-69.55940246582031,917,SA,Peru,PE,"Madre de Dios Region",PE-MDD,MDD,Iñapari,0,SPIN,,,,,,50,2008-07-21T16:56:49+00:00
32362,SPNT,small_airport,"Intuto Airport",-3.5829999446868896,-74.75,650,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Intuto,0,SPNT,,,,,,50,2008-07-21T16:57:42+00:00
316784,PE-0002,small_airport,"Old Iquitos Airport",-3.7422,-73.2604,295,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Iquitos,0,,,,,,,50,2016-01-23T09:58:02+00:00
32353,SPEN,small_airport,"Iscozasin Airport",-10.182999610900879,-75.1500015258789,898,SA,Peru,PE,"Pasco Region",PE-PAS,PAS,Iscozasin,0,SPEN,,,,,,50,2008-07-21T16:57:18+00:00
39645,SPQJ,small_airport,"Jaquí Airport",-15.466667175292969,-74.43333435058594,,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Jaquí,0,SPQJ,,,,,,50,2008-07-21T16:58:48+00:00
39589,SPBS,small_airport,"Bellavista Airport",-5.288390159606934,-76.29209899902344,675,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,Jeberos,0,SPBS,,,,,,50,2008-07-21T16:56:40+00:00
